Count,Name of School,School Email ,School Number,Name of POC,Email,Phone Number 1,Phone Number 2
,"A.M. Naik School, Powai",principal@amnaikschool.in,,,amnaikschool@gmail.com,,
,"Abhinav Vidyalaya, Dombivali",sushiljsoni@rediffmail.com,,,,,
,Activity High School,info@activityhighschool.com,,,,,
,Ajmera Global School,hos@ags.org.in,,,,,
,Ajmera School (ICSE),principalicse@ags.org.in,,,,,
,"Akshara High School, Kandivali (W)",principal.aksharahighschool@gmail.com,,,,,
,"Amanora School, Pune",principal@amanoraschool.edu.in,,,,,
,"Amber International School, Thane",ceo@amberschool.edu.in,,,,,
,Amrita Vidyalayam,correspondence@avnavimumbai.com,,,,,
,"Amulakh Amichand International School, Matunga",info@amulakhcie.com,,,manali.kadam@gkmschools.com,,
,"Anchorwala Education Academy, Navi Mumbai",nmmefanchorwala@aeaschoolvashi.edu.in,,,,,
,"ANEKANT ENGLISH MEDIUM SCHOOL, PUNE",anekantems@gmail.com,,,,,
,Anjuman-I-Islam School,hoadmin@anjumaniislam.org,,,ceo@anjumaniislam.org,,
,"Apeejay School, Kharghar, Navi Mumbai",skool.khg.by@apj.edu,,,,,
,"Apeejay School, Nerul, Navi Mumbai",skool.nrl.by@apj.edu,,,,,
,Arya Gurukul,aryagurukul@gmail.com,,,bharatmalik11@gmail.com,,
,"Arya Vidya Mandir, Bandra",jyoti.kumar@avmschools.ac.in,,,binaifer@avmschools.ac.in,,
,"Ashoka Universal School, Nashik",principal@ausindia.org,,,,,
,"Ashwini International School, Pune",aispune1234@gmail.com,,,,,
,Aspee Nutan Academy,principal@aspeenutanacademy.org,,,,,
,"Auxilium Convent High School & Junior College, Ahmednagar",srlathafma@gmail.com,,,,,
,Avalon Heights International School,anahita.landers@avalonheights.co.in,,,arati.gawade@avalonheights.co.in,,
,"B.A.K. Swadhyay Bhavan, Matunga",info@swadhyaybhavanschool.com,,,,,
,B.K. Birla Public School,contact@birlaschoolkalyan.com,,,,,
,Bal Bharati Public School,principal.bbkgr@gmail.com,,,,,
,"Bal Bharati Public School, Ratnagiri",bbpsrg@balbharati.org,,,,,
,Barnes School & Junior College,principal@barnesschool.in,,,,,
,BEACON HIGH,beaconhigh580@gmail.com,,,,,
,"Bharti Krishna Vidya Vihar, Nagpur",principal@bkvvngp.org,,,,,
,Bhavans Bhagwandas Purohit Vidya Mandir,bvmskn@rediffmail.com,,,,,
,Billabong High - Malad,principal.malad@billabonghigh.com,,,kusum.kanwar@billabonghigh.com,,
,Billabong High - Santacruz,principal.santacruz@billabonghigh.com,,,,,
,Billabong High Baroda,principal.baroda@billabonghigh.com,,,,,
,Billabong High International School - Thane,principalsoffice@billabongthane.com,,,,,
